text,label
배송이 빠르고 제품 상태가 좋아요,positive
가격 대비 품질이 만족스럽습니다,positive
포장이 깔끔하고 다시 구매하고 싶어요,positive
생각보다 성능이 좋아서 추천합니다,positive
사용하기 편하고 디자인도 마음에 듭니다,positive
문의 응대가 친절해서 만족했어요,positive
상품 설명과 실제 제품이 거의 같아요,positive
재구매 의사가 있을 만큼 괜찮습니다,positive
배송은 조금 늦었지만 제품은 좋아요,positive
전체적으로 만족스러운 구매였습니다,positive
제품에 흠집이 있고 포장도 별로였어요,negative
배송이 너무 늦어서 실망했습니다,negative
사진과 다르게 품질이 좋지 않습니다,negative
사용하기 불편하고 금방 고장났어요,negative
가격에 비해 성능이 아쉽습니다,negative
문의 답변이 늦고 불친절했어요,negative
다시 구매하고 싶지 않은 상품입니다,negative
냄새가 심하고 마감이 별로입니다,negative
설명과 달라서 환불하고 싶어요,negative
전체적으로 기대보다 많이 부족했습니다,negative
